name,company,year,Price,kms_driven,fuel_type
Maruti Zen Estilo VXI BSIV,Maruti,2010,175000,52047,Petrol
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Toyota,2011,450000,200000,Diesel
Tata Tiago 1.2 Revotron XZA,Tata,2019,350000,15000,Petrol
Maruti Vitara Brezza ZDi,Maruti,2018,800000,50000,Diesel
Maruti Swift VXI BSIII,Maruti,2011,250000,70000,Petrol
Maruti Swift VXI BSIV,Maruti,2019,600000,10000,Petrol
Maruti Swift VDI BSIV,Maruti,2017,600000,90000,Diesel
Maruti Alto 800 LXI,Maruti,2016,130000,40000,Petrol
Maruti Wagon R LXI,Maruti,2006,90000,62009,Petrol
Hyundai i20 Active 1.2 S,Hyundai,2017,595000,33100,Petrol
Hyundai EON Era Plus,Hyundai,2014,190000,40000,Petrol
Hyundai Santro GLS I - Euro I,Hyundai,1999,50000,120000,Petrol
Maruti Wagon R LXI Minor,Maruti,2007,95000,80000,Petrol
Tata Safari Storme VX,Tata,2016,1000000,70000,Diesel
Mahindra Scorpio REV 116,Mahindra,2006,220000,220000,Petrol
Mahindra Bolero SLX,Mahindra,2010,400000,50000,Diesel
Datsun GO Plus A,Datsun,2015,315000,45000,Petrol
Toyota Fortuner 4x4 MT,Toyota,2014,1000000,110000,Diesel
Ford Ecosport 1.5 DV5 MT Titanium,Ford,2014,500000,49000,Diesel
Mahindra XUV500 W11 AT BSIV,Mahindra,2018,1600000,35000,Diesel
Mahindra Supro VX 8 Str,Mahindra,2017,500000,160000,Diesel
Maruti Alto LX,Maruti,2007,70000,180000,Petrol
Maruti 800 AC,Maruti,2007,105000,60000,Petrol
Ford Endeavour 2.5L 4X2 MT,Ford,2008,400000,110000,Diesel
Maruti Wagon R LXI,Maruti,2004,80000,60000,Petrol
Maruti Alto 800 VXI,Maruti,2016,300000,30000,Petrol
Mahindra KUV 100 D75 K2,Mahindra,2017,409999,40000,Diesel
Maruti Swift Glam,Maruti,2009,250000,70000,Petrol
Tata New Safari DICOR 2.2 EX 4x2,Tata,2010,250000,120000,Diesel
Maruti Swift Dzire VDI,Maruti,2012,215000,80000,Diesel
Toyota Fortuner 4x4 MT,Toyota,2015,1400000,120000,Diesel
Honda Brio 1.2 VX MT,Honda,2018,475000,20000,Petrol
Honda Brio 1.2 VX MT,Honda,2018,475000,22000,Petrol
Chevrolet Spark 1.0 LS,Chevrolet,2008,75000,35000,Petrol
Chevrolet Sail Hatchback LS ABS,Chevrolet,2013,200000,120000,Diesel
Tata Tiago NRG Petrol,Tata,2019,575000,8000,Petrol
Maruti Ritz VDi,Maruti,2011,150000,40000,Diesel
Maruti Vitara Brezza ZDi Plus,Maruti,2018,850000,10000,Diesel
Hyundai Santro Era,Hyundai,2019,350000,30000,Petrol
Ford Endeavour 2.5L 4X2 MT,Ford,2011,550000,54000,Diesel
Hyundai Verna 1.4 VTVT,Hyundai,2017,330000,80577,Petrol
Honda City i-DTEC V,Honda,2017,1044999,25000,Diesel
Hyundai Verna 1.6 CRDI,Hyundai,2011,300000,127500,Diesel
Hyundai EON D Lite Plus,Hyundai,2015,235000,40903,Petrol
Ford Figo Petrol Titanium,Ford,2011,120000,60000,Petrol
Maruti Wagon R VXI,Maruti,2004,130000,46000,Petrol
Ford Endeavour 4x4 XLT,Ford,2004,275000,22288,Diesel
Volkswagen Jetta 2.0 TDI Trendline,Volkswagen,2011,270000,180000,Diesel
Volkswagen Polo 1.5 TDI Highline,Volkswagen,2015,500000,30000,Diesel
Hyundai Grand i10 Sportz,Hyundai,2015,400000,61690,Petrol
Hyundai i20 Asta 1.2,Hyundai,2015,600000,64484,Petrol
Audi Q5 2.0 TDI,Audi,2012,1350000,90000,Diesel
Renault Duster 85PS Diesel RxE,Renault,2013,400000,75976,Diesel
Ford Figo Diesel Titanium,Ford,2011,220000,70000,Diesel
Honda Brio E MT,Honda,2012,300000,85962,Petrol
Maruti Omni E MPI STD BS IV,Maruti,2018,250000,120000,Petrol
Honda Mobilio V i DTEC,Honda,2015,600000,120000,Diesel
Honda Brio S Option AT,Honda,2012,285000,75000,Petrol
Honda Accord 2.4 MT,Honda,2009,350000,57035,Petrol
Mahindra Bolero SLX,Mahindra,2011,170000,70000,Diesel
Ford Figo 1.2P Ambiente MT,Ford,2015,229999,45000,Petrol
Mahindra XUV500 W6 2WD,Mahindra,2013,500000,72104,Diesel
Tata Nano Lx,Tata,2011,75000,15000,Petrol
Hyundai i20 Active 1.2 SX,Hyundai,2016,600000,30000,Petrol
Tata Indigo LS Dicor,Tata,2011,220000,80000,Diesel
Tata Indica Vista Terra 1.4 TDI,Tata,2009,150000,164000,Diesel
Maruti Alto LX,Maruti,2006,65000,124439,Petrol
Maruti Zen VXI,Maruti,2006,120000,77000,Petrol
Maruti Swift Dzire VDI,Maruti,2014,240000,90000,Diesel
Renault KWID 1.0 RXT Optional,Renault,2017,390000,30000,Petrol
Chevrolet Beat LS,Chevrolet,2012,180000,50000,Petrol
Maruti Swift VDI,Maruti,2012,320000,80000,Diesel
Maruti Alto 800 LXI,Maruti,2018,310000,5000,Petrol
Maruti Wagon R AMT VXI,Maruti,2018,420000,24000,Petrol
Tata Tiago NRG Petrol,Tata,2019,550000,10000,Petrol
Maruti Ertiga SHVS VDI,Maruti,2016,550000,78000,Diesel
Mahindra TUV 300 T4 Plus,Mahindra,2018,760000,50000,Diesel
Maruti 800 AC BSII,Maruti,2001,43000,100000,Petrol
Maruti Omni MPI STD BSIV,Maruti,2018,250000,20000,Petrol
Hyundai Santro Magna BSIV,Hyundai,2019,500000,1250,Petrol
Tata Zest Revotron 1.2 XT,Tata,2015,380000,17152,Petrol
Mahindra XUV500 W11 Option AT AWD,Mahindra,2019,1850000,5000,Diesel
Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,2012,350000,77000,Diesel
Hyundai Verna CRDi,Hyundai,2008,195000,90000,Diesel
Chevrolet Beat LS,Chevrolet,2011,225000,80000,Petrol
Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,2015,1125000,65000,Diesel
Tata Indica Vista Quadrajet LX,Tata,2011,133000,80000,Diesel
Hyundai EON Era Plus,Hyundai,2013,200000,24005,Petrol
Maruti Vitara Brezza ZDi Plus,Maruti,2018,940000,20000,Diesel
Renault Duster 85PS Diesel RxL,Renault,2014,400000,120000,Diesel
Hyundai i10 Era 1.1,Hyundai,2009,120000,120000,Petrol
Maruti Swift Dzire ZDI,Maruti,2015,625000,80000,Diesel
Maruti Swift 1.3 VXi,Maruti,2005,110000,80000,Petrol
Renault Duster 110PS Diesel RxZ,Renault,2012,490000,100000,Diesel
Maruti Alto LX,Maruti,2009,140000,120000,Petrol
Ford Figo Diesel ZXI,Ford,2011,175000,149000,Diesel
Maruti Wagon R LXI BSIII,Maruti,2005,90000,65000,Petrol
Maruti Swift Ldi BSIV,Maruti,2009,275000,100000,Diesel
Volkswagen Vento Diesel Highline,Volkswagen,2011,300000,65000,Diesel
Datsun GO Plus T Option BSIV,Datsun,2018,270000,19000,Petrol
Chevrolet Beat LT,Chevrolet,2010,130000,80000,Petrol
Maruti Alto K10 VXI Airbag,Maruti,2015,275000,30000,Petrol
Maruti Swift VDI,Maruti,2012,352000,109000,Diesel
Hyundai EON LPG Magna Plus,Hyundai,2012,180000,90000,LPG
Maruti Alto LX,Maruti,2012,150000,90000,Petrol
Volkswagen Vento Diesel Highline,Volkswagen,2011,300000,65000,Diesel
Maruti Swift Vdi BSIII,Maruti,2010,300000,110000,Diesel
Mahindra Bolero DI DX 7 Seater,Mahindra,2007,225000,120000,Diesel
Honda Mobilio V i DTEC,Honda,2014,600000,44000,Diesel
Maruti Ertiga BSIV ZXI,Maruti,2015,500000,80000,Petrol
Honda BR-V i-VTEC S MT,Honda,2018,900000,5000,Petrol
Hyundai i20 Magna 1.2,Hyundai,2016,600000,61000,Petrol
Toyota Etios VD,Toyota,2011,450000,100000,Diesel
Hyundai i10 Era 1.1,Hyundai,2009,270000,27633,Petrol
Maruti Swift Vdi BSIII,Maruti,2010,310000,100000,Diesel
Hyundai Santro Xing GLS LPG,Hyundai,2012,250000,100000,LPG
Ford Figo 1.2P Titanium MT,Ford,2019,700000,12586,Petrol
Fiat Avventura Urban Cross 1.3 Multijet Emotion,Fiat,2018,650000,38083,Diesel
Ford Figo Diesel ZXI,Ford,2012,400000,55328,Diesel
Ford Figo Diesel Titanium,Ford,2012,425000,81632,Diesel
Ford Aspire Titanium Diesel BSIV,Ford,2016,600000,155201,Diesel
Ford EcoSport 1.5 TDCi Titanium BSIV,Ford,2013,600000,93283,Diesel
Maruti Swift Ldi BSIII,Maruti,2009,300000,217871,Diesel
Ford Fiesta Classic 1.4 Duratorq CLXI,Ford,2012,450000,90165,Diesel
Ford Ecosport 1.5 DV5 MT Titanium,Ford,2014,750000,101504,Diesel
Ford Figo Titanium Diesel BSIV,Ford,2010,325000,86017,Diesel
Mahindra XUV500 W8 2WD,Mahindra,2013,900000,85036,Diesel
Ford Ikon 1.3L Rocam Flair,Ford,2006,180000,91086,Petrol
Fiat Punto 1.3 Emotion,Fiat,2013,350000,160254,Diesel
Ford EcoSport 1.5 TDCi Titanium BSIV,Ford,2013,600000,125531,Diesel
Honda WR-V i-DTEC V,Honda,2019,900000,60000,Diesel
Skoda Laura L n K 1.9 PD,Skoda,2006,350000,100000,Diesel
Maruti Ritz LDi,Maruti,2013,280000,90000,Diesel
Mahindra Xylo D2,Mahindra,2009,225000,120000,Diesel
Honda City i DTEC S,Honda,2014,520000,82000,Diesel
Mahindra Scorpio 1.99 S4,Mahindra,2016,509999,60000,Diesel
Maruti Baleno Alpha 1.2,Maruti,2019,556000,24000,Petrol
Tata Indigo Grand Dicor,Tata,2014,225000,120000,Diesel
Honda Amaze EX i-Dtech,Honda,2013,325000,65000,Diesel
Maruti Swift VDI,Maruti,2013,365000,65000,Diesel
Hyundai Creta 1.6 CRDi SX Plus,Hyundai,2015,850000,84000,Diesel
Toyota Etios GD SP,Toyota,2013,350000,75000,Diesel
Maruti Swift VDI,Maruti,2007,225000,50000,Diesel
Maruti Alto LX,Maruti,2011,135000,50000,Petrol
Maruti Wagon R LXI Minor,Maruti,2007,140000,49000,Petrol
Maruti SX4 S Cross DDiS 320 Delta,Maruti,2016,665000,560000,Diesel
Renault KWID RXT,Renault,2015,275000,14365,Petrol
Toyota Fortuner 2.8 4WD AT BSIV,Toyota,2017,2750000,41000,Diesel
Hyundai Verna 1.6 SX,Hyundai,2013,484999,65000,Diesel
Maruti Ciaz VDi Option SHVS,Maruti,2015,565000,65000,Diesel
Maruti Swift Dzire VDI,Maruti,2013,425000,61083,Diesel
Toyota Innova 2.5 VX (Diesel) 8 Seater,Toyota,2013,925000,75000,Diesel
Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,Mahindra,2012,565000,72000,Diesel
Renault Duster 110PS Diesel RxL,Renault,2014,525000,65000,Diesel
Hyundai Tucson 2.0 e-VGT 2WD MT,Hyundai,2017,1650000,55000,Diesel
Hyundai EON Era Plus,Hyundai,2015,295000,21000,Petrol
Jaguar XF 5.0 Litre V8 Petrol,Jaguar,2012,2050000,66363,Petrol
Hyundai Creta 1.6 VTVT AT SX Plus,Hyundai,2018,1475000,11700,Petrol
Hyundai Verna VTVT 1.6 AT SX Option,Hyundai,2017,1100000,10000,Petrol
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Mercedes-Benz,2014,4400000,100000,Diesel
Maruti Swift ZXI BSIV,Maruti,2016,670000,7104,Petrol
Maruti S-Cross Zeta DDiS 200 SH,Maruti,2015,750000,45974,Diesel
Hyundai Verna 1.6 VTVT SX,Hyundai,2015,760000,55340,Petrol
Volkswagen Polo GTI,Volkswagen,2017,850000,20000,Petrol
Renault Pulse RxL,Renault,2015,390000,61585,Diesel
Maruti Celerio VXI AMT BSIV,Maruti,2016,450000,39415,Petrol
Honda Brio V MT,Honda,2014,425000,29654,Petrol
Maruti Baleno Alpha 1.3,Maruti,2016,770000,64672,Diesel
Hyundai Creta 1.6 SX Automatic Diesel,Hyundai,2015,1150000,54634,Diesel
Honda City i VTEC V,Honda,2015,775000,66521,Petrol
Toyota Innova Crysta 2.4 GX AT,Toyota,2018,1725000,23974,Diesel
BMW 3 Series 320d Luxury Line,BMW,2016,2150000,43000,Diesel
Renault Duster 85PS Diesel RxL,Renault,2013,450000,1000,Diesel
Mercedes-Benz C-Class Progressive C 220d,Mercedes-Benz,2018,3800000,10000,Diesel
Audi A4 3.0 TDI Quattro,Audi,2013,1580000,86000,Diesel
BMW X5 xDrive 30d xLine,BMW,2019,4950000,30000,Diesel
Hyundai Creta 1.6 CRDi SX,Hyundai,2016,535000,52600,Diesel
Maruti SX4 Vxi BSIV,Maruti,2012,225000,110000,Petrol
Hyundai Grand i10 1.2 Kappa Magna AT,Hyundai,2017,550000,19890,Petrol
Maruti Swift ZXI BSIV,Maruti,2016,670000,7104,Petrol
Maruti Ertiga VXI,Maruti,2015,625000,11918,Petrol
Hyundai Grand i10 Magna AT,Hyundai,2017,520000,10510,Petrol
Chevrolet Beat LT Option,Chevrolet,2016,239000,41000,Petrol
Toyota Fortuner 4x2 AT,Toyota,2017,2600000,47162,Diesel
Maruti S-Cross Zeta DDiS 200 SH,Maruti,2015,750000,45974,Diesel
Hyundai i10 Magna,Hyundai,2012,229999,49824,Petrol
Audi A6 2.0 TDI Premium Plus,Audi,2013,1300000,58500,Diesel
Hyundai Santro GS,Hyundai,2005,80000,56580,Petrol
Skoda Laura Ambiente 2.0 TDI CR MT,Skoda,2012,385000,52000,Diesel
Hyundai Verna 1.6 VTVT SX,Hyundai,2015,760000,55340,Petrol
Maruti Swift Dzire VDI,Maruti,2017,600000,46507,Diesel
Renault Duster 85PS Diesel RxL,Renault,2013,450000,1000,Diesel
Mercedes-Benz C-Class Progressive C 220d,Mercedes-Benz,2018,3800000,10000,Diesel
Audi A4 3.0 TDI Quattro,Audi,2013,1580000,86000,Diesel
BMW X5 xDrive 30d xLine,BMW,2019,4950000,30000,Diesel
Hyundai Creta 1.6 CRDi SX,Hyundai,2016,535000,52600,Diesel
Maruti SX4 Vxi BSIV,Maruti,2012,225000,110000,Petrol
Hyundai Grand i10 1.2 Kappa Magna AT,Hyundai,2017,550000,19890,Petrol
Maruti Swift ZXI BSIV,Maruti,2016,670000,7104,Petrol
Maruti Ertiga VXI,Maruti,2015,625000,11918,Petrol
Hyundai Grand i10 Magna AT,Hyundai,2017,520000,10510,Petrol
Chevrolet Beat LT Option,Chevrolet,2016,239000,41000,Petrol
Toyota Fortuner 4x2 AT,Toyota,2017,2600000,47162,Diesel
Maruti S-Cross Zeta DDiS 200 SH,Maruti,2015,750000,45974,Diesel
Hyundai i10 Magna,Hyundai,2012,229999,49824,Petrol
Audi A6 2.0 TDI Premium Plus,Audi,2013,1300000,58500,Diesel
Hyundai Santro GS,Hyundai,2005,80000,56580,Petrol
Skoda Laura Ambiente 2.0 TDI CR MT,Skoda,2012,385000,52000,Diesel
Hyundai Verna 1.6 VTVT SX,Hyundai,2015,760000,55340,Petrol
Maruti Swift Dzire VDI,Maruti,2017,600000,46507,Diesel
Renault Duster 85PS Diesel RxL,Renault,2013,450000,1000,Diesel
Mercedes-Benz C-Class Progressive C 220d,Mercedes-Benz,2018,3800000,10000,Diesel
Audi A4 3.0 TDI Quattro,Audi,2013,1580000,86000,Diesel
BMW X5 xDrive 30d xLine,BMW,2019,4950000,30000,Diesel
Hyundai Creta 1.6 CRDi SX,Hyundai,2016,535000,52600,Diesel
Maruti SX4 Vxi BSIV,Maruti,2012,225000,110000,Petrol
Hyundai Grand i10 1.2 Kappa Magna AT,Hyundai,2017,550000,19890,Petrol
Maruti Swift ZXI BSIV,Maruti,2016,670000,7104,Petrol
Maruti Ertiga VXI,Maruti,2015,625000,11918,Petrol
Hyundai Grand i10 Magna AT,Hyundai,2017,520000,10510,Petrol
Chevrolet Beat LT Option,Chevrolet,2016,239000,41000,Petrol
Toyota Fortuner 4x2 AT,Toyota,2017,2600000,47162,Diesel
Maruti S-Cross Zeta DDiS 200 SH,Maruti,2015,750000,45974,Diesel
Hyundai i10 Magna,Hyundai,2012,229999,49824,Petrol
Audi A6 2.0 TDI Premium Plus,Audi,2013,1300000,58500,Diesel
Hyundai Santro GS,Hyundai,2005,80000,56580,Petrol
Skoda Laura Ambiente 2.0 TDI CR MT,Skoda,2012,385000,52000,Diesel
Hyundai Verna 1.6 VTVT SX,Hyundai,2015,760000,55340,Petrol
Maruti Swift Dzire VDI,Maruti,2017,600000,46507,Diesel
Renault Duster 85PS Diesel RxL,Renault,2013,450000,1000,Diesel
Mercedes-Benz C-Class Progressive C 220d,Mercedes-Benz,2018,3800000,10000,Diesel
Audi A4 3.0 TDI Quattro,Audi,2013,1580000,86000,Diesel
BMW X5 xDrive 30d xLine,BMW,2019,4950000,30000,Diesel
Hyundai Creta 1.6 CRDi SX,Hyundai,2016,535000,52600,Diesel
Maruti SX4 Vxi BSIV,Maruti,2012,225000,110000,Petrol
Hyundai Grand i10 1.2 Kappa Magna AT,Hyundai,2017,550000,19890,Petrol
Maruti Swift ZXI BSIV,Maruti,2016,670000,7104,Petrol
Maruti Ertiga VXI,Maruti,2015,625000,11918,Petrol
Hyundai Grand i10 Magna AT,Hyundai,2017,520000,10510,Petrol
Chevrolet Beat LT Option,Chevrolet,2016,239000,41000,Petrol
Toyota Fortuner 4x2 AT,Toyota,2017,2600000,47162,Diesel
Maruti S-Cross Zeta DDiS 200 SH,Maruti,2015,750000,45974,Diesel
Hyundai i10 Magna,Hyundai,2012,229999,49824,Petrol
Audi A6 2.0 TDI Premium Plus,Audi,2013,1300000,58500,Diesel
Hyundai Santro GS,Hyundai,2005,80000,56580,Petrol
Skoda Laura Ambiente 2.0 TDI CR MT,Skoda,2012,385000,52000,Diesel
Hyundai Verna 1.6 VTVT SX,Hyundai,2015,760000,55340,Petrol
Maruti Swift Dzire VDI,Maruti,2017,600000,46507,Diesel
Hyundai i20 Sportz 1.2,Hyundai,2013,350000,50000,Petrol
Maruti Alto 800 LXI,Maruti,2014,114999,30000,Petrol
Hyundai i20 Sportz 1.2,Hyundai,2013,380000,50000,Petrol
Maruti Gypsy E ST,Maruti,1995,95000,100000,Petrol
Mahindra Scorpio 1.99 S6 Plus,Mahindra,2016,900000,35000,Diesel
Chevrolet Beat LT,Chevrolet,2012,200999,90000,Petrol
Maruti Omni E MPI STD BS IV,Maruti,2014,229999,11451,Petrol
Tata Nexon 1.5 Revotorq XZ,Tata,2019,800000,60000,Diesel
Mahindra Verito 1.5 D4 BSIV,Mahindra,2012,150000,172000,Diesel
Maruti Swift VDI,Maruti,2018,600000,60000,Diesel
Chevrolet Tavera LS B3 7 Seats BSII,Chevrolet,2005,150000,150000,Diesel
Chevrolet Optra Magnum 2.0 LS,Chevrolet,2009,150000,66000,Diesel
Maruti Eeco 5 Seater Standard BSIV,Maruti,2019,380000,5000,Petrol
Maruti Swift 1.3 VXi,Maruti,2006,80000,66508,Petrol
Honda Civic 1.8 MT Sport,Honda,2007,225000,55000,Petrol
Tata Nano Lx BSIV,Tata,2012,75000,29900,Petrol
Tata Hexa XT 4X4,Tata,2017,1600000,3000,Diesel
Tata Indica Vista Quadrajet VX,Tata,2012,185000,85000,Diesel
Mahindra Scorpio 2.6 CRDe SLE,Mahindra,2011,425000,50000,Diesel
Tata Indica Vista Aqua 1.4 TDI,Tata,2010,100000,120000,Diesel
Maruti Zen Estilo LXI BSIII,Maruti,2008,140000,90000,Petrol
Maruti Swift Dzire AMT ZXI Plus BS IV,Maruti,2017,710000,8000,Petrol
Honda Amaze S AT i-Vtech,Honda,2015,450000,7900,Petrol
Datsun RediGO T Option,Datsun,2017,210000,50000,Petrol
Maruti Alto K10 VXI,Maruti,2016,270000,25000,Petrol
Maruti Alto LXi,Maruti,2009,110000,20000,Petrol
Maruti Swift VXI,Maruti,2018,540000,17500,Petrol
Mahindra Renault Logan 1.4 GLX Petrol,Mahindra,2008,145000,25000,Petrol
Tata Safari Storme VX,Tata,2013,360000,206500,Diesel
Hyundai i10 Magna LPG,Hyundai,2013,250000,88600,LPG
Tata Venture EX,Tata,2012,110000,80000,Diesel
Chevrolet Captiva LT,Chevrolet,2008,250000,100000,Diesel
Ford Fiesta Classic 1.4 Duratorq CLXI,Ford,2011,150000,186000,Diesel
Chevrolet Aveo U-VA 1.2 LS,Chevrolet,2010,140000,60000,Petrol
Maruti Ciaz Zeta BSIV,Maruti,2019,925000,11000,Petrol
Tata Hexa XM,Tata,2017,969999,30000,Diesel
Hyundai Santro Xing GL PLUS CNG,Hyundai,2007,90000,80000,CNG
Hyundai Santro GLS I - Euro I,Hyundai,2001,55000,60000,Petrol
Hyundai Verna CRDi,Hyundai,2007,155000,100000,Diesel
Mahindra Thar CRDe ABS,Mahindra,2019,900000,15000,Diesel
Maruti Alto K10 2010-2014 VXI,Maruti,2011,135000,90000,Petrol
Maruti 800 AC,Maruti,2012,180000,120000,Petrol
Hyundai Verna 1.6 SX,Hyundai,2013,495000,100000,Diesel
Toyota Innova 2.5 V Diesel 8-seater,Toyota,2009,400000,138000,Diesel
Hyundai Verna CRDi,Hyundai,2008,250000,110000,Diesel
Maruti Alto K10 LXI,Maruti,2015,138000,120000,Petrol
Honda City 1.5 V AT,Honda,2011,311000,70000,Petrol
Maruti Alto 800 VXI,Maruti,2015,190000,70000,Petrol
Mahindra Bolero SLX,Mahindra,2011,311000,140000,Diesel
Maruti Ritz LXI,Maruti,2009,300000,15000,Petrol
Honda Jazz VX,Honda,2018,600000,20000,Petrol
Mahindra Scorpio SLE BSIII,Mahindra,2009,550000,100000,Diesel
Skoda Rapid 1.6 MPI AT Elegance Plus,Skoda,2015,600000,70000,Petrol
Maruti Alto 800 VXI,Maruti,2018,195000,5000,Petrol
Tata Nano LX,Tata,2013,58000,27974,Petrol
Maruti Alto 800 VXI,Maruti,2018,183000,40000,Petrol
Maruti Zen Estilo 1.1 VXI BSIII,Maruti,2007,95000,80000,Petrol
Maruti Wagon R LX Minor,Maruti,2013,250000,38000,Petrol
Maruti Wagon R LX Minor,Maruti,2013,250000,38000,Petrol
Tata Zest Revotron 1.2 XT,Tata,2014,400000,35000,Petrol
Hyundai Verna 1.6 SX CRDi (O),Hyundai,2012,409999,60000,Diesel
Skoda Octavia Classic 1.9 TDI MT,Skoda,2004,120000,120000,Diesel
Maruti Swift AMT VXI,Maruti,2018,600000,18000,Petrol
Honda Amaze SX i-VTEC,Honda,2016,600000,10000,Petrol
Mahindra XUV500 W6 2WD,Mahindra,2015,825000,90000,Diesel
Toyota Etios GD,Toyota,2016,625000,80000,Diesel
Hyundai Grand i10 Nios Magna CRDi,Hyundai,2020,700000,1400,Diesel
Chevrolet Beat LS,Chevrolet,2011,160000,60000,Petrol
Maruti Alto LX,Maruti,2011,114999,60000,Petrol
Maruti Wagon R LXI Minor,Maruti,2009,150000,53000,Petrol
Volkswagen Jetta 1.9 L TDI,Volkswagen,2010,250000,100000,Diesel
Hyundai Verna 1.6 SX,Hyundai,2012,390000,86000,Diesel
Renault Duster 85PS Diesel RxL,Renault,2015,650000,100000,Diesel
Hyundai Xcent 1.1 CRDi SX Option,Hyundai,2016,600000,30000,Diesel
Hyundai i20 1.2 Sportz,Hyundai,2011,250000,120000,Petrol
Hyundai Santro Xing GL Plus LPG,Hyundai,2011,229999,60000,LPG
Maruti Ritz LDi,Maruti,2016,299000,50000,Diesel
Chevrolet Cruze LTZ,Chevrolet,2010,330000,124000,Diesel
Hyundai Accent Executive,Hyundai,2012,180000,100000,Petrol
Hyundai Grand i10 1.2 Kappa Asta,Hyundai,2017,475000,42000,Petrol
Hyundai Grand i10 CRDi Sportz,Hyundai,2015,325000,100000,Diesel
Honda City i VTEC V,Honda,2016,639000,28205,Petrol
Maruti Celerio VXI AT,Maruti,2017,415000,32670,Petrol
Hyundai Creta 1.6 CRDi AT SX Plus,Hyundai,2016,1199000,30093,Diesel
Maruti Ertiga VXI CNG,Maruti,2013,525000,56228,CNG
Hyundai Verna 1.6 SX VTVT,Hyundai,2013,425000,59319,Petrol
Maruti Vitara Brezza VDi,Maruti,2016,699000,39503,Diesel
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,Hyundai,2013,325000,35299,Petrol
Toyota Etios V,Toyota,2011,275000,51687,Petrol
Volkswagen Vento Petrol Highline AT,Volkswagen,2011,269000,76259,Petrol
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,2013,399000,44049,Diesel
Mahindra KUV 100 mFALCON D75 K8,Mahindra,2017,475000,45087,Diesel
Toyota Etios V,Toyota,2011,249000,41125,Petrol
Audi A4 New  2.0 TDI Multitronic,Audi,2014,1549000,42215,Diesel
Volkswagen Polo Petrol Highline 1.2L,Volkswagen,2011,254999,54206,Petrol
Skoda Rapid 1.6 MPI Active,Skoda,2012,269000,52547,Petrol
Maruti Ertiga ZDI,Maruti,2014,665000,59110,Diesel
Maruti Wagon R Stingray LXI,Maruti,2014,299000,54565,Petrol
Hyundai i20 Asta,Hyundai,2010,265000,47564,Petrol
Volkswagen Polo Petrol Highline 1.2L,Volkswagen,2010,211000,45143,Petrol
Skoda Superb 1.8 TSI,Skoda,2013,599000,61624,Petrol
Tata Indigo LS,Tata,2007,55000,195000,Diesel
Hyundai Verna 1.6 SX CRDi (O),Hyundai,2014,550000,50000,Diesel
Land Rover Discovery Sport TD4 HSE 7S,Land,2018,4000000,68000,Diesel
Tata Sumo GX TC 8 Str,Tata,2010,220000,120000,Diesel
Maruti Swift VXI,Maruti,2019,500000,20000,Petrol
Maruti Alto LXi,Maruti,2010,140000,30000,Petrol
Maruti Swift VDI,Maruti,2013,325000,60000,Diesel
Hyundai i20 Magna,Hyundai,2010,210000,90000,Petrol
Maruti Alto LXi,Maruti,2008,110000,90000,Petrol
Hyundai Verna CRDi 1.6 SX Option,Hyundai,2019,1200000,25000,Diesel
Maruti Alto 800 VXI,Maruti,2017,229999,40000,Petrol
Maruti SX4 Vxi BSIV,Maruti,2012,225000,110000,Petrol
Maruti Alto 800 LXI,Maruti,2006,165000,132000,Petrol
Tata Tiago XZA AMT,Tata,2018,525000,10980,Petrol
Hyundai EON Era Plus,Hyundai,2018,325000,20629,Petrol
Toyota Innova Crysta 2.4 VX MT BSIV,Toyota,2018,1500000,50000,Diesel
Hyundai Grand i10 AT Asta,Hyundai,2015,400000,30000,Petrol
Maruti Ciaz VXi,Maruti,2015,550000,69782,Petrol
Maruti 800 Std,Maruti,2003,98000,54000,Petrol
Mahindra XUV500 W8 4WD,Mahindra,2013,900000,63654,Diesel
Renault Lodgy 85PS RxL,Renault,2017,700000,60000,Diesel
Mahindra Scorpio S6 Plus 7 Seater,Mahindra,2015,890000,52000,Diesel
Maruti Swift LDI BSIV,Maruti,2015,490000,59385,Diesel
Hyundai i20 2015-2017 Magna 1.2,Hyundai,2015,525000,70378,Petrol
Maruti Wagon R LXI BS IV,Maruti,2013,330000,55425,Petrol
Mahindra Bolero 2011-2019 SLX 2WD BSIII,Mahindra,2013,550000,78413,Diesel
Mahindra Bolero Power Plus SLX,Mahindra,2018,790000,40890,Diesel
Honda Brio S MT,Honda,2015,350000,34823,Petrol
Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,2017,1700000,75000,Diesel
Maruti Ciaz VDI SHVS,Maruti,2017,750000,55545,Diesel
Honda Amaze EX i-Dtech,Honda,2014,409999,56541,Diesel
Hyundai EON Magna Plus,Hyundai,2016,220000,43700,Petrol
Tata Indica GLS BS IV,Tata,2009,68000,120000,Petrol
Hyundai EON Era Plus,Hyundai,2017,290000,20000,Petrol
Honda City i DTec SV,Honda,2014,600000,27483,Diesel
Maruti Swift LXI,Maruti,2019,470000,8000,Petrol
